car_name,car_price_in_rupees,kms_driven,fuel_type,city,year_of_manufacture
Jeep Compass Limited 1.4 Petrol AT [2017-2020],₹ 16.92 Lakh,"23,409 km",Petrol,Pune,2019
Toyota Fortuner 2.8 4x2 AT [2016-2020],₹ 32.5 Lakh,"82,000 km",Diesel,Hyderabad,2017
Maruti Suzuki Celerio VXi,₹ 4.15 Lakh,"40,900 km",Petrol,Bangalore,2014
Mercedes-Benz A-Class A 200d,₹ 22.95 Lakh,"8,368 km",Diesel,Bangalore,2017
Toyota Fortuner 3.0 4x2 AT,₹ 16.49 Lakh,"1,07,281 km",Diesel,Bangalore,2012
Maruti Suzuki Swift VXi ABS,₹ 3.4 Lakh,"51,595 km",Petrol,Delhi,2013
Renault Kwid 1.0 RXT [2016-2019],₹ 4.6 Lakh,"22,541 km",Petrol,Bangalore,2018
Mercedes-Benz GLC 220 d Sport,₹ 44 Lakh,"46,000 km",Diesel,Pune,2018
Maruti Suzuki Wagon R 1.0 VXI,₹ 3.59 Lakh,"20,728 km",Petrol,Kolkata,2016
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],₹ 5.95 Lakh,"44,868 km",Petrol,Bangalore,2019
Hyundai Grand i10 Nios Sportz AMT 1.2 Kappa VTVT,₹ 7.33 Lakh,"18,631 km",Petrol,Pune,2019
Toyota Innova Crysta 2.8 GX AT 8 STR [2016-2020],₹ 18.9 Lakh,"48,969 km",Diesel,Thane,2018
Toyota Innova Crysta ZX 2.4 7 STR,₹ 33.5 Lakh,"42,000 km",Diesel,Hyderabad,2022
Maruti Suzuki Wagon R ZXi 1.2,₹ 6.49 Lakh,"9,011 km",Petrol,Bangalore,2021
Honda City VX CVT,₹ 9.5 Lakh,"77,116 km",Petrol,Hyderabad,2015
Honda City Anniversary Edition Diesel,₹ 8.2 Lakh,"26,500 km",Diesel + 1,Ambattur,2018
Hyundai Creta SX Plus 1.6  Petrol,₹ 11.37 Lakh,"22,872 km",Petrol,Bangalore,2017
Volvo V40 D3 Kinetic,₹ 16 Lakh,"30,000 km",Diesel,Ahmedabad,2016
Hyundai Elite i20  Asta 1.2 AT,₹ 7.5 Lakh,"33,647 km",Petrol,Thane,2018
Maruti Suzuki Alto 800 Vxi,₹ 2.23 Lakh,"27,233 km",Petrol,Kolkata,2014
Hyundai Creta SX (O) 1.5 Petrol CVT [2020-2022],₹ 17.25 Lakh,"28,374 km",Petrol,Thane,2021
Mahindra Scorpio S6 Plus 1.99 Intelli-Hybrid,₹ 8.95 Lakh,"80,500 km",Diesel,Delhi,2017
Volkswagen Polo GT TSI,₹ 9.45 Lakh,"41,417 km",Petrol,Bangalore,2017
Maruti Suzuki Alto 800 Vxi,₹ 2.67 Lakh,"23,377 km",Petrol,Delhi,2015
Hyundai Elite i20 Asta 1.4 (O) CRDi,₹ 8.5 Lakh,"75,126 km",Diesel,Hyderabad,2018
Maruti Suzuki Ciaz Alpha Hybrid 1.5 AT [2018-2020],₹ 9.49 Lakh,"16,700 km",Petrol,Ahmedabad,2020
Honda WR-V VX MT Petrol,₹ 6.99 Lakh,"27,429 km",Petrol,Kolkata,2019
Renault Kwid RXL [2015-2019],₹ 2.95 Lakh,"40,000 km",Petrol,Noida,2018
Ford Figo Duratorq Diesel Titanium 1.4,₹ 4.75 Lakh,"50,945 km",Diesel,Hyderabad,2015
Maruti Suzuki Swift VXi [2014-2017],₹ 6.5 Lakh,"9,500 km",Petrol,Thane,2019
Honda Civic 1.8V MT,₹ 2.35 Lakh,"1,07,551 km",Petrol,Mumbai,2009
Mahindra XUV700 AX 7 Diesel AT 7 STR,₹ 28 Lakh,"2,100 km",Diesel,Ahmedabad,2022
Maruti Suzuki Swift VXi,₹ 3.27 Lakh,"40,110 km",Petrol,Kolkata,2012
Honda Brio E MT,₹ 3.7 Lakh,"60,000 km",Petrol,Pallikarnai,2013
Honda CR-V 2.4 AT,₹ 12.51 Lakh,"74,009 km",Petrol,Mumbai,2015
BMW 3 Series 330i M Sport Edition,₹ 47.5 Lakh,"13,900 km",Petrol,Ahmedabad,2020
BMW X5 xDrive 30d,₹ 48 Lakh,"28,000 km",Diesel,Ahmedabad,2017
Maruti Suzuki S-Presso VXi,₹ 4.5 Lakh,"11,537 km",Petrol,Ahmedabad,2020
Toyota Glanza V CVT,₹ 9.85 Lakh,"15,928 km",Petrol,Bangalore,2021
Mahindra Alturas G4 4WD AT [2018-2020],₹ 21.45 Lakh,"40,180 km",Diesel,Kolkata,2019
Renault Duster 85 PS RxL,₹ 8.5 Lakh,"22,601 km",Diesel,Hyderabad,2018
BMW 3 Series GT 320d Sport Line [2014-2016],₹ 27.5 Lakh,"99,000 km",Diesel,Hyderabad,2016
Maruti Suzuki Ignis Alpha 1.2 MT,₹ 7.12 Lakh,"10,658 km",Petrol,Pune,2020
Maruti Suzuki Celerio VXi (O) CNG,₹ 5.56 Lakh,"75,044 km",CNG,Pune,2020
Ford EcoSport Signature Edition Diesel,₹ 10.2 Lakh,"52,000 km",Diesel,Thane,2019
Maruti Suzuki Ciaz Zeta 1.4 MT,₹ 8.75 Lakh,"43,999 km",Petrol,Bangalore,2018
Honda Jazz VX Petrol,₹ 5.7 Lakh,"92,270 km",Petrol,Mumbai,2017
Maruti Suzuki Swift DZire VXI,₹ 3.7 Lakh,"77,000 km",Petrol,Thane,2012
Audi Q3 35 TDI Premium Plus + Sunroof,₹ 15 Lakh,"1,48,108 km",Diesel,Ahmedabad,2015
Maruti Suzuki Wagon R 1.0 VXI,₹ 4.07 Lakh,"39,876 km",Petrol,Pune,2016
Jaguar XF 2.2 Diesel Luxury,₹ 19.5 Lakh,"67,534 km",Diesel,Ahmedabad,2014
Maruti Suzuki Alto 800 Lxi CNG,₹ 3.3 Lakh,"75,430 km",CNG,Pune,2015
Maruti Suzuki Alto K10 VXi,₹ 4.2 Lakh,"20,000 km",Petrol + 1,Thiruvallur,2022
Maruti Suzuki Vitara Brezza ZDi Plus AGS,₹ 11.5 Lakh,"32,000 km",Diesel,Bangalore,2019
Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],₹ 5.35 Lakh,"29,000 km",Petrol,Hyderabad,2016
Hyundai i20 Active 1.2 S,₹ 6.45 Lakh,"60,273 km",Petrol,Hyderabad,2016
Honda Amaze 1.2 S i-VTEC,₹ 4.5 Lakh,"57,000 km",Petrol,Thane,2015
Tata Nexon XZ Plus (O),₹ 10.65 Lakh,"3,280 km",Petrol,Thane,2022
Audi Q7 Technology 55 TFSI,₹ 93 Lakh,"6,500 km",Petrol,Pune,2022
Toyota Fortuner 2.8 4x2 AT [2016-2020],₹ 32.5 Lakh,"51,000 km",Diesel,Mumbai,2018
Toyota Corolla Altis JS Petrol,₹ 6.45 Lakh,"90,293 km",Petrol,Mumbai,2015
Maruti Suzuki Swift DZire ZXI,₹ 3.95 Lakh,"36,000 km",Petrol,Thane,2013
Mercedes-Benz E-Class E250 CDI Avantgarde,₹ 22 Lakh,"39,000 km",Diesel,Ahmedabad,2014
BMW 5 Series 520d Luxury Line [2017-2019],₹ 51.95 Lakh,"25,234 km",Diesel,Hyderabad,2019
Hyundai i10 Magna 1.2 Kappa2,₹ 3.49 Lakh,"75,619 km",Petrol,Chennai,2014
Skoda Kodiaq L&K 2.0 TDI 4x4 AT,₹ 32.6 Lakh,"61,213 km",Diesel,Hyderabad,2019
Renault Kwid RXT [2015-2019],₹ 4.46 Lakh,"36,904 km",Petrol,Pune,2021
Maruti Suzuki Swift VXi [2014-2017],₹ 5.42 Lakh,"16,304 km",Petrol,Kolkata,2018
Skoda Octavia Elegance 1.8 TSI AT,₹ 9.45 Lakh,"43,000 km",Petrol,Mumbai,2015
Tata Nexon XZA Plus (S),₹ 12.25 Lakh,"20,763 km",Petrol,Faridabad,2021
Maruti Suzuki Eeco 5 STR WITH A/C+HTR CNG [2017-2019],₹ 4.75 Lakh,"38,500 km",CNG,Thane,2016
Mahindra Thar CRDe 4x4 Non AC,₹ 7.3 Lakh,"41,535 km",Diesel,Hyderabad,2017
Maruti Suzuki Baleno Alpha 1.2,₹ 7.31 Lakh,"24,645 km",Petrol,Thane,2019
BMW X5 xDrive 30d M Sport,₹ 53 Lakh,"48,213 km",Diesel,Mumbai,2018
BMW X5 xDrive30d xLine,₹ 42.5 Lakh,"80,000 km",Diesel,Thane,2017
Audi Q3 2.0 TDI quattro Premium Plus,₹ 15.13 Lakh,"79,000 km",Diesel,Ahmedabad,2015
Maruti Suzuki Ciaz Alpha Hybrid 1.5 AT [2018-2020],₹ 11.55 Lakh,"32,031 km",Petrol,Mumbai,2021
Hyundai i10 Sportz 1.2 AT Kappa2,₹ 2.95 Lakh,"65,002 km",Petrol,Thane,2013
Mahindra XUV300 W8 1.5 Diesel,₹ 15.74 Lakh,"39,300 km",Diesel,Pune,2021
Renault Kwid 1.0 RXT AMT Opt [2016-2019],₹ 4.95 Lakh,"25,332 km",Petrol,Bangalore,2016
Maruti Suzuki Alto 800 Lxi,₹ 2.98 Lakh,"24,456 km",Petrol,Pune,2016
Hyundai Grand i10 Asta 1.2 Kappa VTVT,₹ 5.21 Lakh,"32,491 km",Petrol,Chennai,2017
Hyundai Elite i20 Sportz 1.2,₹ 6.45 Lakh,"12,593 km",Petrol,Mumbai,2018
Hyundai Santro Sportz [2018-2020],₹ 5.5 Lakh,"34,267 km",Petrol,Pune,2019
Maruti Suzuki Celerio ZXi AMT ABS,₹ 4.82 Lakh,"29,855 km",Petrol,Delhi,2016
Hyundai i20 Active 1.2 S,₹ 5.5 Lakh,"15,367 km",Petrol,Thane,2015
Hyundai Venue S 1.0 Petrol [2019-2020],₹ 8.95 Lakh,"14,667 km",Petrol,Kolkata,2019
Hyundai Verna 1.6 VTVT S,₹ 5.49 Lakh,"41,990 km",Petrol,Kolkata,2016
Hyundai Creta 1.6 SX,₹ 14.25 Lakh,"59,000 km",Diesel,Hyderabad,2018
Hyundai Xcent S 1.1 CRDi (O),₹ 3.5 Lakh,"48,000 km",Diesel,Kolkata,2015
Maruti Suzuki Celerio ZXi AMT [2017-2019],₹ 5.6 Lakh,"17,542 km",Petrol,Bangalore,2018
Skoda Rapid Ambition 1.6 MPI AT,₹ 8.99 Lakh,"57,702 km",Petrol,Bangalore,2018
Honda City 1.5 S AT,₹ 6.2 Lakh,"42,408 km",Petrol,Hyderabad,2013
Renault Triber RXZ EASY-R AMT,₹ 7.5 Lakh,"19,784 km",Petrol,Mumbai,2020
Honda City VX CVT,₹ 5.99 Lakh,"51,000 km",Petrol,Kolkata,2016
Renault Duster 85 PS Base 4X2 MT Diesel,₹ 8.62 Lakh,"75,795 km",Diesel,Bangalore,2018
Toyota Innova Crysta ZX 2.4 AT 7 STR,₹ 32.5 Lakh,"22,562 km",Diesel,Hyderabad,2021
Maruti Suzuki Baleno Alpha Automatic,₹ 8.95 Lakh,"21,367 km",Petrol,Bangalore,2018
Mercedes-Benz C-Class 200 K AT,₹ 4.63 Lakh,"76,000 km",Petrol,Ahmedabad,2006
Mercedes-Benz C-Class C 220 CDI Avantgarde,₹ 26.5 Lakh,"30,000 km",Diesel,Bangalore,2015
Hyundai Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],₹ 5.35 Lakh,"41,017 km",Petrol,Mumbai,2015
Hyundai Grand i10 Asta AT 1.2 Kappa VTVT (O) [2016-2017],₹ 5.24 Lakh,"58,184 km",Petrol,Pune,2016
Maruti Suzuki Ciaz Zeta 1.4 AT,₹ 9 Lakh,"31,573 km",Petrol,Hyderabad,2018
Tata Nexon EV XZ Plus,₹ 15 Lakh,"4,100 km",Electric,Mumbai,2022
Mahindra Quanto C8,₹ 3 Lakh,"1,00,000 km",Diesel,Thiruvallur,2012
Tata Tigor Buzz Petrol,₹ 4.9 Lakh,"33,100 km",Petrol,Ahmedabad,2018
Maruti Suzuki Dzire VXi,₹ 6.65 Lakh,"19,000 km",Petrol,Thane,2018
Honda City V,₹ 9.91 Lakh,"9,300 km",Petrol,Ahmedabad,2022
Hyundai Grand i10 Nios Sportz AMT 1.2 Kappa VTVT,₹ 7.33 Lakh,"18,631 km",Petrol,Pune,2019
Hyundai Tucson 2WD MT Diesel,₹ 7.61 Lakh,"12,030 km",Diesel,Delhi,2021
Hyundai Elite i20 Asta 1.2 (O) [2016],₹ 7.79 Lakh,"9,889 km",Petrol,Bangalore,2016
Skoda Octavia 1.8 TSI Style Plus AT [2017],₹ 19.5 Lakh,"41,000 km",Petrol,Chennai,2019
Hyundai Verna SX Plus 1.6 CRDi AT,₹ 10.25 Lakh,"69,599 km",Diesel,Ahmedabad,2017
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,₹ 3.76 Lakh,"56,322 km",Petrol,Delhi,2014
Hyundai Santro Xing GL Plus,₹ 2.65 Lakh,"24,587 km",Petrol,Delhi,2013
Hyundai Creta SX Plus 1.6  Petrol,₹ 9.75 Lakh,"43,398 km",Petrol,Thane,2017
BMW 3 Series 320d Highline Sedan,₹ 9 Lakh,"40,000 km",Diesel,Kolkata,2011
Maruti Suzuki Wagon R 1.0 LXI ABS,₹ 6.87 Lakh,"18,512 km",Petrol,Pune,2021
Maruti Suzuki Alto 800 VXi,₹ 3.69 Lakh,"13,046 km",Petrol,Kolkata,2020
Hyundai i10 1.1L iRDE Magna Special Edition,₹ 3.9 Lakh,"73,700 km",Petrol,Ahmedabad,2014
Honda WR-V VX MT Petrol,₹ 8.9 Lakh,"6,000 km",Petrol,Thane,2019
Tata Harrier XTA Plus Dark Edition,₹ 25 Lakh,"6,861 km",Diesel,Hyderabad,2022
Hyundai Elite i20 Magna 1.2,₹ 4.65 Lakh,"53,776 km",Petrol,Thane,2015
Skoda Rapid Style 1.5 TDI,₹ 6.54 Lakh,"61,681 km",Diesel,Kolkata,2017
Renault Kwid RXL,₹ 3.51 Lakh,"13,045 km",Petrol,Delhi,2019
Maruti Suzuki Swift DZire ZDI,₹ 5.26 Lakh,"98,251 km",Diesel,Pune,2012
Renault Kwid CLIMBER 1.0 [2017-2019],₹ 3.8 Lakh,"52,778 km",Petrol,Hyderabad,2018
Hyundai Creta SX Plus 1.6  Petrol,₹ 9.11 Lakh,"45,000 km",Petrol,Mumbai,2016
Nissan Terrano XL (D),₹ 6.25 Lakh,"72,000 km",Diesel,Ahmedabad,2015
MG Hector Sharp 1.5 Petrol CVT,₹ 19.75 Lakh,"20,999 km",Petrol,Bangalore,2021
Maruti Suzuki Ritz VXI BS-IV,₹ 3.15 Lakh,"42,000 km",Petrol,Thane,2012
Maruti Suzuki Vitara Brezza VXi,₹ 8.59 Lakh,"72,255 km",Petrol,Chennai,2020
Hyundai Creta 1.6 S Petrol,₹ 10.03 Lakh,"48,529 km",Petrol,Pune,2017
Honda Jazz S Petrol,₹ 6.73 Lakh,"55,056 km",Petrol,Bangalore,2017
Land Rover Range Rover Velar 2.0 R-Dynamic S Petrol 250 [2017-2020],₹ 78.99 Lakh,"31,059 km",Petrol,Kolkata,2020
Renault Duster 110 PS RxZ Diesel,₹ 5.7 Lakh,"56,816 km",Diesel,Thane,2014
Maruti Suzuki Ertiga ZXi AT,₹ 11.9 Lakh,"12,587 km",Petrol,Ahmedabad,2021
Toyota Innova Crysta 2.8 GX AT 8 STR [2016-2020],₹ 18.5 Lakh,"56,967 km",Diesel,Hyderabad,2017
Renault Kwid Neotech RXL,₹ 5.49 Lakh,"5,485 km",Petrol,Pune,2021
Renault Captur Platine Mono Diesel,₹ 6.75 Lakh,"51,720 km",Diesel,Kolkata,2019
Hyundai Santro Sportz AMT [2018-2020],₹ 5.18 Lakh,"29,944 km",Petrol,Pune,2018
Hyundai Verna 1.6 VTVT SX,₹ 7.5 Lakh,"16,339 km",Petrol,Kolkata,2018
Maruti Suzuki Vitara Brezza ZDi Plus AGS,₹ 9.85 Lakh,"93,500 km",Diesel,Hyderabad,2018
Tata Nexon XMA Diesel,₹ 9.41 Lakh,"20,678 km",Diesel,Thane,2019
Honda City S Petrol,₹ 6.95 Lakh,"31,605 km",Petrol,Thane,2017
Hyundai Verna SX (O) 1.5 CRDi,₹ 13.83 Lakh,"14,512 km",Diesel,Hyderabad,2021
Maruti Suzuki Alto 800 Lxi,₹ 3.19 Lakh,"24,993 km",Petrol,Delhi,2018
Maruti Suzuki Wagon R 1.0 VXI AMT,₹ 4.9 Lakh,"53,830 km",Petrol,Ahmedabad,2018
Mahindra XUV300 1.5 W8 (O) [2019-2020],₹ 11.5 Lakh,"72,000 km",Diesel,Hyderabad,2018
Toyota Innova Crysta 2.8 ZX AT 7 STR [2016-2020],₹ 22.5 Lakh,"52,907 km",Diesel,Chennai,2017
Ford Figo Titanium 1.5 Ti-VCT AT,₹ 5.5 Lakh,"49,223 km",Petrol,Hyderabad,2016
Toyota Corolla Altis G Petrol,₹ 8.85 Lakh,"1,25,000 km",Petrol,Delhi,2018
Tata Tiago Revotron XZ Plus,₹ 6.39 Lakh,"32,210 km",Petrol,Bangalore,2018
Honda WR-V VX MT Petrol,₹ 8.2 Lakh,"27,963 km",Petrol,Delhi,2018
Volkswagen Tiguan Highline TDI,₹ 24 Lakh,"74,000 km",Diesel,Hyderabad,2017
Audi Q7 45 TDI Technology Pack,₹ 61.5 Lakh,"40,000 km",Diesel,Ahmedabad,2017
Mahindra XUV500 W8,₹ 7.5 Lakh,"1,47,421 km",Diesel,Bangalore,2012
BMW X1 sDrive20d xLine,₹ 32.5 Lakh,"36,114 km",Diesel,Mumbai,2019
Toyota Camry Hybrid,₹ 21.43 Lakh,"82,000 km",Petrol,Delhi,2017
Honda Amaze 1.2 SX i-VTEC,₹ 4.6 Lakh,"65,000 km",Petrol,Ambattur,2014
Mercedes-Benz C-Class 250 CDI Avantagarde,₹ 9.5 Lakh,"99,941 km",Diesel,Ahmedabad,2012
Ford EcoSport Titanium 1.5 TDCi,₹ 4.85 Lakh,"74,000 km",Diesel,Thane,2013
Maruti Suzuki Swift VXi,₹ 3.7 Lakh,"76,256 km",Petrol,Kolkata,2015
Fiat Punto Evo Dynamic 1.2,₹ 4 Lakh,"36,500 km",Petrol,Ambattur,2016
Maruti Suzuki Ignis Alpha 1.2 MT,₹ 5.25 Lakh,"41,240 km",Petrol,Mumbai,2017
Jeep Compass Limited 1.4 Petrol AT [2017-2020],₹ 16.92 Lakh,"23,409 km",Petrol,Pune,2019
Mercedes-Benz E-Class E 220d Exclusive [2019-2019],₹ 74 Lakh,"11,000 km",Diesel,Delhi,2022
Mercedes-Benz C-Class 250 CDI Avantagarde,₹ 13.95 Lakh,"55,910 km",Diesel,Bangalore,2013
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,₹ 4.79 Lakh,"38,345 km",Petrol,Pune,2016
Audi A6 Technology 45 TFSI,₹ 48 Lakh,"23,931 km",Petrol,Ahmedabad,2020
Mahindra XUV500 W7 [2018-2020],₹ 13.5 Lakh,"73,342 km",Diesel,Mumbai,2020
Honda Amaze 1.2 V CVT Petrol [2018-2020],₹ 8.51 Lakh,"17,500 km",Petrol,Ahmedabad,2021
Kia Seltos GTX Plus 1.4 [2020-2021],₹ 14.91 Lakh,"23,113 km",Petrol,Bangalore,2019
Mercedes-Benz GLE 250 d,₹ 42.75 Lakh,"47,045 km",Diesel,Thane,2016
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],₹ 4.15 Lakh,"32,064 km",Petrol,Pune,2014
Maruti Suzuki Dzire ZXi Plus AMT,₹ 6.37 Lakh,"76,203 km",Petrol,Chennai,2017
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,₹ 4.77 Lakh,"27,448 km",Petrol,Kolkata,2019
Jeep Compass Limited (O) 1.4 Petrol AT [2017-2020],₹ 22.5 Lakh,"5,030 km",Petrol,Kolkata,2021
Hyundai Santro Magna [2018-2020],₹ 5.1 Lakh,"30,858 km",Petrol,Hyderabad,2019
Maruti Suzuki Swift Dzire VXI,₹ 5.5 Lakh,"48,000 km",Petrol,Thane,2016
Hyundai i10 Sportz 1.2 AT Kappa2,₹ 3.2 Lakh,"36,500 km",Petrol,Ahmedabad,2011
Maruti Suzuki Celerio VXi CNG [2017-2019],₹ 5.24 Lakh,"34,039 km",CNG,Pune,2018
Hyundai Elite i20 Magna Executive 1.2,₹ 5.36 Lakh,"24,062 km",Petrol,Kolkata,2018
Mercedes-Benz C-Class C 220 CDI Style,₹ 30 Lakh,"64,148 km",Diesel,Hyderabad,2015
MG Hector Sharp 2.0 Diesel [2019-2020],₹ 16.11 Lakh,"46,301 km",Diesel,Mumbai,2019
Mahindra Thar LX Hard Top Petrol MT,₹ 16.99 Lakh,"3,590 km",Petrol,Bangalore,2022
Toyota Fortuner 3.0 4x2 AT,₹ 19.9 Lakh,"1,34,361 km",Diesel,Hyderabad,2014
Toyota Fortuner 4x2 AT,₹ 26.49 Lakh,"1,08,512 km",Diesel,Ahmedabad,2016
Hyundai Grand i10 Magna 1.2 Kappa VTVT CNG [2019-2020],₹ 7.78 Lakh,"8,423 km",CNG,Pune,2021
Volkswagen Polo Comfortline 1.2L (P),₹ 3.45 Lakh,"78,800 km",Petrol,Thane,2013
Maruti Suzuki Ciaz Sigma 1.4 MT,₹ 7.45 Lakh,"46,023 km",Petrol,Mumbai,2018
Hyundai Verna 1.6 VTVT SX,₹ 6.75 Lakh,"47,000 km",Petrol,Ahmedabad,2017
Hyundai Elite i20 Asta 1.2 (O) [2016],₹ 6.83 Lakh,"18,352 km",Petrol,Delhi,2017
Honda Amaze 1.2 VX i-VTEC,₹ 4.6 Lakh,"70,000 km",Petrol,Thane,2015
MG Astor Savvy 1.5 CVT S Red,₹ 14.75 Lakh,"12,000 km",Petrol,Delhi,2021
Maruti Suzuki Vitara Brezza VDi,₹ 8.75 Lakh,"36,422 km",Diesel,Mumbai,2019
Honda City 1.5 V MT Sunroof,₹ 5.65 Lakh,"86,593 km",Petrol,Bangalore,2012
Hyundai Eon Era +,₹ 2.5 Lakh,"34,000 km",Petrol,Thane,2013
Ford EcoSport Titanium 1.5L Ti-VCT AT,₹ 6.85 Lakh,"48,504 km",Petrol,Mumbai,2016
Maruti Suzuki Swift LXi,₹ 5.64 Lakh,"12,463 km",Petrol,Chennai,2020
Maruti Suzuki Alto 800 Lxi,₹ 2.99 Lakh,"54,923 km",Petrol,Pune,2017
Honda Brio S MT,₹ 3.05 Lakh,"52,000 km",Petrol,Thane,2013
Mahindra XUV500 W10 AT,₹ 14.99 Lakh,"53,075 km",Diesel,Bangalore,2017
BMW X1 sDrive20d Expedition,₹ 21.75 Lakh,"21,000 km",Diesel,Mumbai,2017
Maruti Suzuki Wagon R 1.0 LXI,₹ 3.91 Lakh,"18,705 km",Petrol,Delhi,2017
Maruti Suzuki Swift Dzire ZDI AMT,₹ 6.9 Lakh,"69,000 km",Diesel,Ahmedabad,2017
Maruti Suzuki Dzire ZDi Plus,₹ 7.7 Lakh,"71,250 km",Diesel,Hyderabad,2017
Hyundai Creta Facelift 1.4 Turbo Petrol DCT,₹ 19.2 Lakh,"18,583 km",Petrol,Thane,2022
Maruti Suzuki Vitara Brezza ZDi Plus,₹ 9.5 Lakh,"1,17,859 km",Diesel,Hyderabad,2017
Hyundai Elite i20 Magna 1.2,₹ 5.75 Lakh,"67,000 km",Petrol,Hyderabad,2015
Maruti Suzuki Baleno Zeta 1.2,₹ 4.83 Lakh,"57,052 km",Petrol,Kolkata,2016
Toyota Innova Crysta 2.8 ZX AT 7 STR [2016-2020],₹ 19.75 Lakh,"75,000 km",Diesel,Ahmedabad,2018
Hyundai Elantra SX (O) 2.0 AT,₹ 10.9 Lakh,"71,395 km",Petrol,Mumbai,2016
Maruti Suzuki Alto K10 VXi AMT [2014-2018],₹ 3.89 Lakh,"24,550 km",Petrol,Pune,2016
Volkswagen Ameo Comfortline 1.0L (P),₹ 5.9 Lakh,"28,000 km",Petrol,Ahmedabad,2019
Maruti Suzuki Dzire ZXi,₹ 6.34 Lakh,"8,087 km",Petrol,Kolkata,2019
Volkswagen Vento Highline Petrol,₹ 4.45 Lakh,"88,000 km",Petrol,Mumbai,2014
Tata Nexon XMA Petrol,₹ 7.45 Lakh,"26,438 km",Petrol,Thane,2019
Honda City V CVT Petrol [2017-2019],₹ 9.96 Lakh,"71,420 km",Petrol,Chennai,2018
Maruti Suzuki Vitara Brezza ZXi Plus AT SHVS,₹ 11.17 Lakh,"21,052 km",Petrol,Pune,2020
Audi Q7 4.2 TDI quattro,₹ 32 Lakh,"1,70,000 km",Diesel,Bangalore,2014
Honda City V CVT Petrol [2017-2019],₹ 8.85 Lakh,"43,417 km",Petrol,Mumbai,2017
Maruti Suzuki Swift DZire VXI,₹ 3.25 Lakh,"75,100 km",Petrol,Delhi,2012
Toyota Camry Hybrid [2015-2017],₹ 48.5 Lakh,700 km,Petrol,Pune,2022
Honda Brio S MT,₹ 4.5 Lakh,"21,996 km",Petrol,Ahmedabad,2016
Tata Harrier XZA Plus Dual Tone,₹ 22.51 Lakh,"30,229 km",Diesel,Mumbai,2021
Maruti Suzuki Alto 800 Lxi,₹ 2.99 Lakh,"37,796 km",Petrol,Pune,2016
MG Hector Sharp 1.5 Petrol Turbo Hybrid MT,₹ 18.66 Lakh,"32,000 km",Hybrid,Pallikarnai,2022
Maruti Suzuki Dzire ZXi Plus AMT,₹ 8.8 Lakh,"40,904 km",Petrol,Hyderabad,2020
Hyundai Grand i10 Magna 1.1 CRDi [2016-2017],₹ 4.15 Lakh,"43,000 km",Diesel,Thane,2015
Maruti Suzuki Wagon R 1.0 LXi CNG,₹ 2.95 Lakh,"80,173 km",CNG,Mumbai,2012
Maruti Suzuki Alto 800 Vxi,₹ 3.79 Lakh,"18,512 km",Petrol,Bangalore,2018
Honda City V,₹ 6.25 Lakh,"73,000 km",Petrol,Ahmedabad,2016
Maruti Suzuki Celerio VXi CNG,₹ 6.89 Lakh,"1,064 km",CNG,Pune,2022
Hyundai Grand i10 Asta 1.2 Kappa VTVT (O) [2013-2017],₹ 4.1 Lakh,"37,000 km",Petrol + 1,Thiruvallur,2017
Hyundai Santro Sportz [2018-2020],₹ 4.86 Lakh,"60,600 km",Petrol,Chennai,2019
Hyundai Elite i20 Sportz 1.2 [2016-2017],₹ 4.95 Lakh,"21,344 km",Petrol,Mumbai,2016
Hyundai Creta SX 1.6 AT CRDi,₹ 12.85 Lakh,"82,899 km",Diesel,Mumbai,2018
Maruti Suzuki Celerio X Zxi (O) AMT [2017-2019],₹ 4.5 Lakh,"29,192 km",Petrol,Kolkata,2018
Maruti Suzuki Celerio VXi,₹ 3.64 Lakh,"11,363 km",Petrol,Kolkata,2015
Maruti Suzuki Wagon R 1.0 LXi CNG,₹ 2.5 Lakh,"77,050 km",CNG,Ahmedabad,2011
Tata Tiago Revotron XZA,₹ 5.25 Lakh,"24,051 km",Petrol,Thane,2018
Mahindra XUV500 W10,₹ 13.75 Lakh,"75,811 km",Diesel,Bangalore,2016
Tata Tiago Revotron XZ,₹ 4.65 Lakh,"45,412 km",Petrol,Mumbai,2017
Toyota Innova Crysta 2.8 GX AT 7 STR [2016-2020],₹ 15.8 Lakh,"1,15,000 km",Diesel,Delhi,2018
Maruti Suzuki Swift VDi,₹ 7.3 Lakh,"90,251 km",Diesel,Hyderabad,2018
Maruti Suzuki Wagon R 1.0 VXI,₹ 3.59 Lakh,"28,518 km",Petrol,Kolkata,2016
Datsun GO T [2018-2019],₹ 3.61 Lakh,"33,766 km",Petrol,Hyderabad,2018
Ford Fiesta Exi 1.6 Duratec Ltd,₹ 1.75 Lakh,"1,14,000 km",Petrol + 1,Pallikarnai,2009
Volvo S90 D4 Inscription,₹ 47.5 Lakh,"30,000 km",Diesel,Delhi,2020
Maruti Suzuki Swift DZire VXI,₹ 4.28 Lakh,"12,902 km",Petrol,Kolkata,2014
